ourse Code	Course Name	Credit
0031-000 -1110	Study Skills	0
0031-000-1111	Healthy Life Skills	0
0031-000-1112	Social Skills	0
0031-000-1113	Professional Skills	0
0031-017-2102	Presentation & Application of Bangla Writing	3
0031-052-6017	Business Leadership	3
0031-052-6050	Workshops (Rise to Shine: Essential Professional Skills)	1
0031-052-6060	Workshops (Elevate 360: Mastering Modern Professional Skill)	1
0031-052-6070	Workshops (Excel & Lead: Amplifying Organizational Impact)	1
0031-052-6100	Workshops (Field Study)	1
0188-000-3145	Education, Society and Development	3
0200-017-1101	Socio- Culture and Literary History of Bengal : Ancient and Medieval Period	3
0200-017-1201	An Introduction to Bangla Literature	3
0200-017-1301	Oriental and Occidental Aesthetics	3
0200-017-1302	Translation: Persion, Arabic and Indian Literature	3
0200-017-2101	Kobita: Charja to Chondi	3
0200-017-2103	History of Bangladesh Literature: From Colonial and Post-Colonial	3
0200-017-2201	Bangla Novel: Colonial Period	3
0200-017-2202	Bangla Short Story: Colonial to Post Liberation.	3
0211-000-2112	Introduction to Photography	3
0211-000-4108	Introduction to Animation	3
0211-012-2102	Multimedia Communication 1	3
0213-000-2201	Film History	3
0213-000-3101	Aesthetic of Film	3
0215-000-2109	Introduction to Drama	3
0222-000-1201	History of the Emergence of Independent Bangladesh	3
0222-000-2150	Introduction to Archaeology	3
0222-000-2204	History of Modern South Asia	3
0222-000-2281	Archaeological Sciences	3
0222-000-3247	Islam and Islamism: A South Asian Perspective	3
0223-000-1202	Ethics	3
0223-000-2111	Introduction to Philosophy I	3
0223-000-2159	Professional Ethics	3
0223-000-2210	Logic	3
0223-000-4148	Ethics in Media and Communication	3
0223-054-5102	Ethics in Media and Communication	3
0231-000-0099	Remedial English	0
0231-000-1101	Academic English I	3
0231-000-1201	Academic English II	3
0231-000-1202	Advanced English Writing Skills	3
0231-000-1203	Advanced Bangla Writing Skills	3
0231-000-2103	Foreign Language: Chinese	3
0231-051-088	Business English	1.5
0231-051-098	Basic English	0
0231-051-518	Communication Workshop	2
0231-051-527	Business Communication	3
0231-052-6001	Managerial Communication	3
0231-054-5103	Technical Writing	3
0232-000-1101	Bangla Bhasha O Sahitya	3
0232-000-2106	History of Bangla Literature	3
0232-000-2214	Qazi Nazrul Islam: Life and Works	3
0232-000-2215	Rabindranath Tagore: Life and Works	3
0232-013-1101	Introduction to Literary Genres	3
0232-013-1201	Introduction to Poetry and Drama	3
0232-013-1202	Introduction to Fiction and Non-fiction	3
0232-013-1203	Pronunciation (Phonetics and Phonology)	3
